Sample,plant.ID,gene_target,Target,Cq,vigs_condition,aphid_status,leaf,dpi
I.Unif.5.2nd,Unif 5,none,PP2A1,28.16547843,uninfiltrated,infested,2nd,fourteen
I.Unif.5.2nd,Unif 5,none,HYD1,28.56382988,uninfiltrated,infested,2nd,fourteen
I.Unif.5.2nd,Unif 5,none,ACT7,22.54765632,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,UBQ7,21.45687708,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,UBQ14,26.24098362,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,TMN5,28.96287627,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,PP2A1,27.03365336,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,HYD1,27.24691539,uninfiltrated,infested,2nd,fourteen
Unif.21.2nd,Unif 21,none,ACT7,21.00451792,uninfiltrated,infested,2nd,fourteen
I.Unif.21.4th,Unif 21,none,UBQ7,30.92317404,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,UBQ14,25.87790203,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,TMN5,32.68622802,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,TBL6,34.54258595,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,PP2A1,30.62996717,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,HYD1,30.62031182,uninfiltrated,infested,4th,fourteen
I.Unif.21.4th,Unif 21,none,ACT7,23.27726865,uninfiltrated,infested,4th,fourteen
I.Unif.2.4th,Unif 2,none,UBQ7,21.41466423,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,UBQ14,27.15052442,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,TMN5,29.75018993,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,TBL6,29.99500019,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,PP2A1,27.03377622,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,HYD1,27.14798387,uninfiltrated,infested,4th,twenty-one
I.Unif.2.4th,Unif 2,none,ACT7,20.98599027,uninfiltrated,infested,4th,twenty-one
I.Unif.2.2nd,Unif 2,none,UBQ14,27.51123576,uninfiltrated,infested,2nd,fourteen
I.Unif.2.2nd,Unif 2,none,TMN5,30.59135712,uninfiltrated,infested,2nd,fourteen
I.Unif.2.2nd,Unif 2,none,TBL6,29.51025239,uninfiltrated,infested,2nd,fourteen
I.Unif.2.2nd,Unif 2,none,PP2A1,27.14289198,uninfiltrated,infested,2nd,fourteen
I.Unif.2.2nd,Unif 2,none,HYD1,28.56958314,uninfiltrated,infested,2nd,fourteen
I.Unif.2.2nd,Unif 2,none,ACT7,22.03049652,uninfiltrated,infested,2nd,fourteen
I.Unif.18.2nd,Unif 18,none,UBQ7,25.90370931,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,UBQ14,21.72262853,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,TMN5,29.38849679,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,TBL6,28.69217345,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,PP2A1,26.81159226,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,HYD1,26.66767683,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.2nd,Unif 18,none,ACT7,20.45330671,uninfiltrated,infested,2nd,twenty-one
I.Unif.18.4th,Unif 18,none,UBQ7,21.91652615,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,UBQ14,27.48009108,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,TMN5,31.46860314,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,TBL6,30.41533536,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,PP2A1,28.2003941,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,HYD1,29.07522059,uninfiltrated,infested,4th,twenty-one
I.Unif.18.4th,Unif 18,none,ACT7,22.53402362,uninfiltrated,infested,4th,twenty-one
I.Unif.17.2nd,Unif 17,none,UBQ7,21.91712916,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,UBQ14,27.53135875,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,TMN5,30.8179296,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,TBL6,31.03942123,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,PP2A1,27.28347183,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,HYD1,27.44772715,uninfiltrated,infested,2nd,fourteen
I.Unif.17.2nd,Unif 17,none,ACT7,21.20383362,uninfiltrated,infested,2nd,fourteen
I.Unif.17.4th,Unif 17,none,TMN5,29.10428074,uninfiltrated,infested,4th,fourteen
I.Unif.17.4th,Unif 17,none,PP2A1,26.14534494,uninfiltrated,infested,4th,fourteen
I.Unif.17.4th,Unif 17,none,ACT7,20.53876327,uninfiltrated,infested,4th,fourteen
I.Unif.13.2nd,Unif 13,none,UBQ7,27.68948211,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,UBQ14,23.32742488,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,TMN5,31.04141096,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,TBL6,31.2716762,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,PP2A1,28.18891356,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,HYD1,27.49244466,uninfiltrated,infested,2nd,fourteen
I.Unif.13.2nd,Unif 13,none,ACT7,22.27360775,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,UBQ7,28.45790684,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,UBQ14,29.15870723,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,TMN5,32.94733408,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,PP2A1,30.61016931,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,HYD1,29.20945542,uninfiltrated,infested,2nd,fourteen
I.Unif.1.2nd,Unif 1,none,ACT7,22.88031614,uninfiltrated,infested,2nd,fourteen
I.Unif.1.4th,Unif 1,none,UBQ7,21.05491949,uninfiltrated,infested,4th,fourteen
I.Unif.1.4th,Unif 1,none,UBQ14,27.15030245,uninfiltrated,infested,4th,fourteen
I.Unif.1.4th,Unif 1,none,TMN5,29.88122747,uninfiltrated,infested,4th,fourteen
I.Unif.1.4th,Unif 1,none,PP2A1,27.08354703,uninfiltrated,infested,4th,fourteen
I.Unif.1.4th,Unif 1,none,HYD1,26.57456061,uninfiltrated,infested,4th,fourteen
I.Unif.1.4th,Unif 1,none,ACT7,21.06256264,uninfiltrated,infested,4th,fourteen
I.HYD.9.2nd,HYD 9,HYD1,UBQ7,21.76818804,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,UBQ14,27.47692474,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,TMN5,29.97679639,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,TBL6,30.21107846,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,PP2A1,26.67536842,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,HYD1,28.192618,vigs_infiltrated,infested,2nd,fourteen
I.HYD.9.2nd,HYD 9,HYD1,ACT7,21.1843812,vigs_infiltrated,infested,2nd,fourteen
I.HYD.6.2nd,HYD 6,HYD1,UBQ7,20.57123751,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,UBQ14,27.00418268,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,TMN5,31.15480842,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,TBL6,28.06407898,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,PP2A1,26.83924945,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,HYD1,31.41793994,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.2nd,HYD 6,HYD1,ACT7,21.82834954,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.6.4th,HYD 6,HYD1,UBQ7,21.63381089,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,UBQ14,26.58603774,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,TMN5,29.18835427,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,TBL6,29.82175808,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,PP2A1,26.86195558,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,HYD1,29.8468892,vigs_infiltrated,infested,4th,twenty-one
I.HYD.6.4th,HYD 6,HYD1,ACT7,20.8752277,vigs_infiltrated,infested,4th,twenty-one
I.HYD.5.2nd,HYD 5,HYD1,UBQ7,26.92637675,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,UBQ14,23.03156081,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,TMN5,30.74075073,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,TBL6,31.32000044,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,PP2A1,27.46556204,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,HYD1,30.14993316,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.2nd,HYD 5,HYD1,ACT7,21.56070163,vigs_infiltrated,infested,2nd,fourteen
I.HYD.5.4th,HYD 5,HYD1,UBQ7,21.9595942,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,UBQ14,27.30970661,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,TMN5,30.87972017,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,TBL6,31.76688836,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,PP2A1,28.09289234,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,HYD1,31.96324247,vigs_infiltrated,infested,4th,fourteen
I.HYD.5.4th,HYD 5,HYD1,ACT7,20.96988043,vigs_infiltrated,infested,4th,fourteen
I.HYD.26.2nd,HYD 26,HYD1,UBQ7,20.22907994,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,UBQ14,25.61277068,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,TMN5,28.91537798,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,TBL6,28.29714125,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,PP2A1,26.37941705,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,HYD1,29.99578543,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.2nd,HYD 26,HYD1,ACT7,20.49589084,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.26.4th,HYD 26,HYD1,UBQ7,20.33346299,vigs_infiltrated,infested,4th,twenty-one
I.HYD.26.4th,HYD 26,HYD1,UBQ14,25.61453111,vigs_infiltrated,infested,4th,twenty-one
I.HYD.26.4th,HYD 26,HYD1,TMN5,28.38308342,vigs_infiltrated,infested,4th,twenty-one
I.HYD.26.4th,HYD 26,HYD1,PP2A1,26.05450029,vigs_infiltrated,infested,4th,twenty-one
I.HYD.26.4th,HYD 26,HYD1,HYD1,25.84837095,vigs_infiltrated,infested,4th,twenty-one
I.HYD.26.4th,HYD 26,HYD1,ACT7,20.2294558,vigs_infiltrated,infested,4th,twenty-one
I.HYD.25.2nd,HYD 25,HYD1,UBQ7,24.25484221,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,UBQ14,28.96822665,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,TMN5,32.26600732,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,TBL6,33.1220872,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,PP2A1,30.15494214,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,HYD1,31.08092626,vigs_infiltrated,infested,2nd,fourteen
I.HYD.25.2nd,HYD 25,HYD1,ACT7,23.58734379,vigs_infiltrated,infested,2nd,fourteen
I.HYD.22.2nd,HYD 22,HYD1,UBQ7,29.76847235,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,UBQ14,23.22416851,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,TMN5,33.76882834,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,TBL6,30.38377927,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,PP2A1,28.65835331,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,HYD1,33.36546852,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.2nd,HYD 22,HYD1,ACT7,23.79530752,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.22.4th,HYD 22,HYD1,UBQ7,21.36618009,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,UBQ14,26.15449671,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,TMN5,30.72420042,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,TBL6,28.44728995,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,PP2A1,26.88334039,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,HYD1,28.12645317,vigs_infiltrated,infested,4th,twenty-one
I.HYD.22.4th,HYD 22,HYD1,ACT7,21.40918022,vigs_infiltrated,infested,4th,twenty-one
I.HYD.21.2nd,HYD 21,HYD1,UBQ7,29.62109322,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,UBQ14,25.04499423,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,TMN5,30.20939818,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,TBL6,31.98304392,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,PP2A1,28.52331412,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,HYD1,32.20507186,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.2nd,HYD 21,HYD1,ACT7,21.27038773,vigs_infiltrated,infested,2nd,fourteen
I.HYD.21.4th,HYD 21,HYD1,UBQ7,29.31738761,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,UBQ14,24.34850054,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,TMN5,32.11977202,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,TBL6,33.27486286,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,PP2A1,28.3886363,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,HYD1,34.34403278,vigs_infiltrated,infested,4th,fourteen
I.HYD.21.4th,HYD 21,HYD1,ACT7,22.65674254,vigs_infiltrated,infested,4th,fourteen
I.HYD.2.2nd,HYD 2,HYD1,UBQ7,21.46317031,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.2nd,HYD 2,HYD1,UBQ14,26.09170029,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.2nd,HYD 2,HYD1,TMN5,29.23296476,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.2nd,HYD 2,HYD1,PP2A1,26.54561629,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.2nd,HYD 2,HYD1,HYD1,29.62826274,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.2nd,HYD 2,HYD1,ACT7,21.01884449,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.2.4th,HYD 2,HYD1,UBQ7,20.56800142,vigs_infiltrated,infested,4th,twenty-one
I.HYD.2.4th,HYD 2,HYD1,UBQ14,26.49403557,vigs_infiltrated,infested,4th,twenty-one
I.HYD.2.4th,HYD 2,HYD1,TMN5,29.13823103,vigs_infiltrated,infested,4th,twenty-one
I.HYD.2.4th,HYD 2,HYD1,PP2A1,26.12884898,vigs_infiltrated,infested,4th,twenty-one
I.HYD.2.4th,HYD 2,HYD1,HYD1,28.97125728,vigs_infiltrated,infested,4th,twenty-one
I.HYD.2.4th,HYD 2,HYD1,ACT7,20.79929176,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,UBQ7,19.89149401,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,UBQ14,25.45521691,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,TMN5,28.55786108,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,TBL6,28.97691702,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,PP2A1,26.13659643,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,HYD1,28.45935169,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.2nd,HYD 18,HYD1,ACT7,20.28918524,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.18.4th,HYD 18,HYD1,UBQ7,23.47152134,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,UBQ14,28.4089058,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,TMN5,31.62753817,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,TBL6,32.43083136,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,PP2A1,28.93634616,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,HYD1,30.36417428,vigs_infiltrated,infested,4th,twenty-one
I.HYD.18.4th,HYD 18,HYD1,ACT7,22.13388359,vigs_infiltrated,infested,4th,twenty-one
I.HYD.17.2nd,HYD 17,HYD1,UBQ7,25.49548145,vigs_infiltrated,infested,2nd,fourteen
I.HYD.17.2nd,HYD 17,HYD1,UBQ14,30.46830306,vigs_infiltrated,infested,2nd,fourteen
I.HYD.17.2nd,HYD 17,HYD1,TMN5,33.5326348,vigs_infiltrated,infested,2nd,fourteen
I.HYD.17.2nd,HYD 17,HYD1,PP2A1,30.86708312,vigs_infiltrated,infested,2nd,fourteen
I.HYD.17.2nd,HYD 17,HYD1,HYD1,33.26268572,vigs_infiltrated,infested,2nd,fourteen
I.HYD.17.2nd,HYD 17,HYD1,ACT7,23.44894097,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,UBQ7,21.231185,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,UBQ14,26.05886876,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,TMN5,29.28982308,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,TBL6,29.34444299,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,PP2A1,27.01497469,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,HYD1,28.62633826,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.2nd,HYD 13,HYD1,ACT7,19.95857425,vigs_infiltrated,infested,2nd,fourteen
I.HYD.13.4th,HYD 13,HYD1,UBQ14,27.00650366,vigs_infiltrated,infested,4th,fourteen
I.HYD.13.4th,HYD 13,HYD1,TMN5,30.29682759,vigs_infiltrated,infested,4th,fourteen
I.HYD.13.4th,HYD 13,HYD1,TBL6,29.6179914,vigs_infiltrated,infested,4th,fourteen
I.HYD.13.4th,HYD 13,HYD1,PP2A1,27.31510561,vigs_infiltrated,infested,4th,fourteen
I.HYD.13.4th,HYD 13,HYD1,HYD1,30.235372,vigs_infiltrated,infested,4th,fourteen
I.HYD.13.4th,HYD 13,HYD1,ACT7,21.29535615,vigs_infiltrated,infested,4th,fourteen
I.HYD.10.2nd,HYD 10,HYD1,UBQ7,20.96051219,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.2nd,HYD 10,HYD1,UBQ14,25.62205918,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.2nd,HYD 10,HYD1,TMN5,29.4361967,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.2nd,HYD 10,HYD1,PP2A1,26.91985386,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.2nd,HYD 10,HYD1,HYD1,28.25888667,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.2nd,HYD 10,HYD1,ACT7,20.40577364,vigs_infiltrated,infested,2nd,twenty-one
I.HYD.10.4th,HYD 10,HYD1,UBQ7,26.57341251,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,UBQ14,21.29326,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,TMN5,29.13898577,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,TBL6,28.82482834,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,PP2A1,27.12590916,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,HYD1,26.47697341,vigs_infiltrated,infested,4th,twenty-one
I.HYD.10.4th,HYD 10,HYD1,ACT7,21.00150163,vigs_infiltrated,infested,4th,twenty-one
I.HYD.1.2nd,HYD 1,HYD1,UBQ7,20.00112378,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.2nd,HYD 1,HYD1,UBQ14,26.28886032,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.2nd,HYD 1,HYD1,TMN5,28.37752092,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.2nd,HYD 1,HYD1,PP2A1,26.17390507,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.2nd,HYD 1,HYD1,HYD1,30.08757839,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.2nd,HYD 1,HYD1,ACT7,19.90160344,vigs_infiltrated,infested,2nd,fourteen
I.HYD.1.4th,HYD 1,HYD1,UBQ7,24.59334063,vigs_infiltrated,infested,4th,fourteen
I.HYD.1.4th,HYD 1,HYD1,UBQ14,29.20273248,vigs_infiltrated,infested,4th,fourteen
I.HYD.1.4th,HYD 1,HYD1,TMN5,32.14877124,vigs_infiltrated,infested,4th,fourteen
I.HYD.1.4th,HYD 1,HYD1,PP2A1,29.09329818,vigs_infiltrated,infested,4th,fourteen
I.HYD.1.4th,HYD 1,HYD1,HYD1,32.13247915,vigs_infiltrated,infested,4th,fourteen
I.HYD.1.4th,HYD 1,HYD1,ACT7,23.37852592,vigs_infiltrated,infested,4th,fourteen
I.GFP.9.2nd,GFP 9,GFP,UBQ7,22.89281017,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,UBQ14,27.11548999,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,TMN5,29.90377463,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,TBL6,29.0746075,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,PP2A1,27.36783296,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,HYD1,28.15494896,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.2nd,GFP 9,GFP,ACT7,21.40238773,vigs_infiltrated,infested,2nd,fourteen
I.GFP.9.4th,GFP 9,GFP,UBQ7,22.01700977,vigs_infiltrated,infested,4th,fourteen
